company_id,previous_year,previous_pattern,current_year,current_pattern,pattern_change
ABB,Mar 2014,Mixed,Mar 2015,Distress Signal,Mixed -> Distress Signal
ABB,Mar 2015,Distress Signal,Mar 2016,Reinvestor,Distress Signal -> Reinvestor
ABB,Mar 2017,Reinvestor,Mar 2018,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
ABB,Mar 2020,Growth Funded by Debt,Mar 2021,Reinvestor,Growth Funded by Debt -> Reinvestor
ABB,Mar 2022,Reinvestor,Mar 2023,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
ABB,Mar 2023,Growth Funded by Debt,Mar 2024,Reinvestor,Growth Funded by Debt -> Reinvestor
ADANIENSOL,Mar 2014,Mixed,Mar 2015,Distress Signal,Mixed -> Distress Signal
ADANIENSOL,Mar 2015,Distress Signal,Mar 2016,Reinvestor,Distress Signal -> Reinvestor
ADANIENSOL,Mar 2017,Reinvestor,Mar 2018,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
ADANIENSOL,Mar 2020,Growth Funded by Debt,Mar 2021,Reinvestor,Growth Funded by Debt -> Reinvestor
ADANIENSOL,Mar 2022,Reinvestor,Mar 2023,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
ADANIENSOL,Mar 2023,Growth Funded by Debt,Mar 2024,Reinvestor,Growth Funded by Debt -> Reinvestor
ADANIENT,Mar 2013,Growth Funded by Debt,Mar 2014,Reinvestor,Growth Funded by Debt -> Reinvestor
ADANIENT,Mar 2014,Reinvestor,Mar 2015,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
ADANIENT,Mar 2015,Growth Funded by Debt,Mar 2016,Reinvestor,Growth Funded by Debt -> Reinvestor
ADANIENT,Mar 2016,Reinvestor,Mar 2017,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
ADANIENT,Mar 2018,Growth Funded by Debt,Mar 2019,Liquidating Assets,Growth Funded by Debt -> Liquidating Assets
ADANIENT,Mar 2019,Liquidating Assets,Mar 2020,Reinvestor,Liquidating Assets -> Reinvestor
ADANIENT,Mar 2020,Reinvestor,Mar 2021,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
ADANIENT,Mar 2022,Growth Funded by Debt,Mar 2023,Reinvestor,Growth Funded by Debt -> Reinvestor
ADANIENT,Mar 2023,Reinvestor,Mar 2024,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
ADANIGREEN,Mar 2022,Growth Funded by Debt,Mar 2023,Reinvestor,Growth Funded by Debt -> Reinvestor
ADANIGREEN,Mar 2023,Reinvestor,Mar 2024,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
ADANIPORTS,Mar 2014,Growth Funded by Debt,Mar 2015,Reinvestor,Growth Funded by Debt -> Reinvestor
ADANIPORTS,Mar 2015,Reinvestor,Mar 2016,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
ADANIPORTS,Mar 2016,Growth Funded by Debt,Mar 2017,Reinvestor,Growth Funded by Debt -> Reinvestor
ADANIPORTS,Mar 2018,Reinvestor,Mar 2019,Mixed,Reinvestor -> Mixed
ADANIPORTS,Mar 2019,Mixed,Mar 2020,Reinvestor,Mixed -> Reinvestor
ADANIPORTS,Mar 2020,Reinvestor,Mar 2021,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
ADANIPORTS,Mar 2021,Growth Funded by Debt,Mar 2022,Reinvestor,Growth Funded by Debt -> Reinvestor
ADANIPOWER,Mar 2014,Growth Funded by Debt,Mar 2015,Reinvestor,Growth Funded by Debt -> Reinvestor
ADANIPOWER,Mar 2021,Reinvestor,Mar 2022,Liquidating Assets,Reinvestor -> Liquidating Assets
APOLLOHOSP,Mar 2013,Growth Funded by Debt,Mar 2014,Reinvestor,Growth Funded by Debt -> Reinvestor
APOLLOHOSP,Mar 2014,Reinvestor,Mar 2015,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
APOLLOHOSP,Mar 2017,Growth Funded by Debt,Mar 2018,Reinvestor,Growth Funded by Debt -> Reinvestor
ATGL,Mar 2018,Growth Funded by Debt,Mar 2019,Liquidating Assets,Growth Funded by Debt -> Liquidating Assets
ATGL,Mar 2019,Liquidating Assets,Mar 2020,Reinvestor,Liquidating Assets -> Reinvestor
ATGL,Mar 2020,Reinvestor,Mar 2021,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
ATGL,Mar 2023,Growth Funded by Debt,Mar 2024,Reinvestor,Growth Funded by Debt -> Reinvestor
AXISBANK,Mar 2013,Growth Funded by Debt,Mar 2014,Mixed,Growth Funded by Debt -> Mixed
AXISBANK,Mar 2014,Mixed,Mar 2015,Distress Signal,Mixed -> Distress Signal
AXISBANK,Mar 2016,Distress Signal,Mar 2017,Reinvestor,Distress Signal -> Reinvestor
AXISBANK,Mar 2017,Reinvestor,Mar 2018,Distress Signal,Reinvestor -> Distress Signal
AXISBANK,Mar 2018,Distress Signal,Mar 2019,Mixed,Distress Signal -> Mixed
AXISBANK,Mar 2020,Mixed,Mar 2021,Growth Funded by Debt,Mixed -> Growth Funded by Debt
AXISBANK,Mar 2021,Growth Funded by Debt,Mar 2022,Mixed,Growth Funded by Debt -> Mixed
AXISBANK,Mar 2022,Mixed,Mar 2023,Growth Funded by Debt,Mixed -> Growth Funded by Debt
AXISBANK,Mar 2023,Growth Funded by Debt,Mar 2024,Distress Signal,Growth Funded by Debt -> Distress Signal
BAJAJ-AUTO,Mar 2019,Reinvestor,Mar 2020,Liquidating Assets,Reinvestor -> Liquidating Assets
BAJAJ-AUTO,Mar 2020,Liquidating Assets,Mar 2021,Reinvestor,Liquidating Assets -> Reinvestor
BAJAJ-AUTO,Mar 2021,Reinvestor,Mar 2022,Liquidating Assets,Reinvestor -> Liquidating Assets
BAJAJ-AUTO,Mar 2023,Liquidating Assets,Mar 2024,Reinvestor,Liquidating Assets -> Reinvestor
BAJAJFINSV,Mar 2020,Distress Signal,Mar 2021,Mixed,Distress Signal -> Mixed
BAJAJFINSV,Mar 2021,Mixed,Mar 2022,Distress Signal,Mixed -> Distress Signal
BAJAJHLDNG,Mar 2015,Reinvestor,Mar 2016,Liquidating Assets,Reinvestor -> Liquidating Assets
BAJAJHLDNG,Mar 2016,Liquidating Assets,Mar 2017,Mixed,Liquidating Assets -> Mixed
BAJAJHLDNG,Mar 2017,Mixed,Mar 2018,Reinvestor,Mixed -> Reinvestor
BANKBARODA,Mar 2013,Reinvestor,Mar 2014,Mixed,Reinvestor -> Mixed
BANKBARODA,Mar 2014,Mixed,Mar 2015,Reinvestor,Mixed -> Reinvestor
BANKBARODA,Mar 2015,Reinvestor,Mar 2016,Mixed,Reinvestor -> Mixed
BANKBARODA,Mar 2016,Mixed,Mar 2017,Reinvestor,Mixed -> Reinvestor
BANKBARODA,Mar 2017,Reinvestor,Mar 2018,Distress Signal,Reinvestor -> Distress Signal
BANKBARODA,Mar 2019,Distress Signal,Mar 2020,Mixed,Distress Signal -> Mixed
BANKBARODA,Mar 2021,Mixed,Mar 2022,Reinvestor,Mixed -> Reinvestor
BANKBARODA,Mar 2022,Reinvestor,Mar 2023,Mixed,Reinvestor -> Mixed
BANKBARODA,Mar 2023,Mixed,Mar 2024,Distress Signal,Mixed -> Distress Signal
BEL,Mar 2014,Mixed,Mar 2015,Reinvestor,Mixed -> Reinvestor
BEL,Mar 2016,Reinvestor,Mar 2017,Mixed,Reinvestor -> Mixed
BEL,Mar 2018,Mixed,Mar 2019,Reinvestor,Mixed -> Reinvestor
BEL,Mar 2022,Reinvestor,Mar 2023,Liquidating Assets,Reinvestor -> Liquidating Assets
BEL,Mar 2023,Liquidating Assets,Mar 2024,Reinvestor,Liquidating Assets -> Reinvestor
BHARTIARTL,Mar 2013,Reinvestor,Mar 2014,Mixed,Reinvestor -> Mixed
BHARTIARTL,Mar 2014,Mixed,Mar 2015,Reinvestor,Mixed -> Reinvestor
BHARTIARTL,Mar 2017,Reinvestor,Mar 2018,Mixed,Reinvestor -> Mixed
BHARTIARTL,Mar 2018,Mixed,Mar 2019,Growth Funded by Debt,Mixed -> Growth Funded by Debt
BHARTIARTL,Mar 2020,Growth Funded by Debt,Mar 2021,Reinvestor,Growth Funded by Debt -> Reinvestor
BHEL,Mar 2014,Mixed,Mar 2015,Liquidating Assets,Mixed -> Liquidating Assets
BHEL,Mar 2016,Liquidating Assets,Mar 2017,Reinvestor,Liquidating Assets -> Reinvestor
BHEL,Mar 2017,Reinvestor,Mar 2018,Liquidating Assets,Reinvestor -> Liquidating Assets
BHEL,Mar 2018,Liquidating Assets,Mar 2019,Mixed,Liquidating Assets -> Mixed
BHEL,Mar 2019,Mixed,Mar 2020,Distress Signal,Mixed -> Distress Signal
BHEL,Mar 2020,Distress Signal,Mar 2021,Reinvestor,Distress Signal -> Reinvestor
BHEL,Mar 2022,Reinvestor,Mar 2023,Distress Signal,Reinvestor -> Distress Signal
BOSCHLTD,Mar 2016,Reinvestor,Mar 2017,Liquidating Assets,Reinvestor -> Liquidating Assets
BOSCHLTD,Mar 2017,Liquidating Assets,Mar 2018,Reinvestor,Liquidating Assets -> Reinvestor
BOSCHLTD,Mar 2018,Reinvestor,Mar 2019,Liquidating Assets,Reinvestor -> Liquidating Assets
BOSCHLTD,Mar 2019,Liquidating Assets,Mar 2020,Reinvestor,Liquidating Assets -> Reinvestor
BOSCHLTD,Mar 2022,Reinvestor,Mar 2023,Liquidating Assets,Reinvestor -> Liquidating Assets
BPCL,Mar 2016,Reinvestor,Mar 2017,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
BPCL,Mar 2017,Growth Funded by Debt,Mar 2018,Reinvestor,Growth Funded by Debt -> Reinvestor
BPCL,Mar 2018,Reinvestor,Mar 2019,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
BPCL,Mar 2020,Growth Funded by Debt,Mar 2021,Reinvestor,Growth Funded by Debt -> Reinvestor
