kpi,p10,p25,p50,p75,p90,mean,std,non_null_count
net_profit_margin_pct,4.619,7.245,14.025,20.3475,29.244,19.9388,45.1951,92
operating_profit_margin_pct,8.0,14.0,22.0,42.0,4102.0,892.6374,8421.0773,91
return_on_equity_pct,8.386,11.61,15.795,25.9275,47.969,122.6276,633.7508,92
debt_to_equity,0.009,0.0614,0.4358,1.6443,6.5803,1.7874,3.0769,92
interest_coverage,1.6107,3.1799,11.3613,58.0894,192.2895,126.1677,485.9317,91
asset_turnover,0.0721,0.2037,0.6705,1.132,1.6522,3.4674,15.7642,92
free_cash_flow_cr,-14435.1,-1290.0,1123.5,8348.5,20412.2,918.4565,23129.8856,92
earnings_per_share,7.0,16.0,41.5,77.25,183.8,83.4348,138.8032,92
book_value_per_share,1.1809,2.8123,10.4672,21.6709,47.4638,16.3254,18.5526,92
dividend_payout_ratio_pct,2.0,14.0,26.0,44.0,64.6,30.2022,29.607,89
