id,company_id,company_name,broad_sector,year,market_cap_crore,pe_ratio,pe_5yr_median,sector_pe_median,sector_pe_rank,pb_ratio,pb_5yr_median,sector_pb_median,ev_ebitda,ev_ebitda_5yr_median,sector_ev_ebitda_median,ev_ebitda_vs_sector_pct,ev_ebitda_flag,dividend_yield_pct,free_cash_flow_cr,fcf_yield_pct,fcf_yield_rank,flag,flag_rationale
ONGC,ONGC,Oil & Natural Gas Corpn Ltd,Energy,2024,390111.05,18.15,43.8,44.92,2.0,10.36,7.0,6.0,11.72,11.72,24.86,-52.86,Normal,1.11,42060.0,10.78,2.0,Discount,P/E is below 70% of the sector median
BPCL,BPCL,Bharat Petroleum Corporation Ltd,Energy,2024,468662.13,68.15,35.8,44.92,13.0,0.72,4.29,6.0,26.59,14.21,24.86,6.96,Normal,1.15,25415.0,5.42,7.0,Caution,P/E is more than 1.5x the sector median
COALINDIA,COALINDIA,Coal India Ltd,Materials,2024,454024.84,34.27,32.17,55.62,2.0,14.75,9.72,9.21,25.15,21.27,26.58,-5.38,Normal,4.38,13617.0,3.0,11.0,Discount,P/E is below 70% of the sector median
TATAMOTORS,TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,2024,1504106.64,67.07,34.17,38.01,12.0,0.93,1.87,8.06,15.35,21.21,26.46,-41.98,Normal,3.65,45133.0,3.0,10.0,Caution,P/E is more than 1.5x the sector median
IOC,IOC,"Indian Oil Corporation
",Energy,2024,1418164.33,28.61,50.51,44.92,5.0,4.24,4.24,6.0,33.71,29.7,24.86,35.6,Above Sector,1.25,39635.0,2.79,12.0,Discount,P/E is below 70% of the sector median
HINDUNILVR,HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,2024,548890.59,34.51,22.92,50.95,2.0,11.88,6.47,8.07,7.52,13.57,17.19,-56.25,Normal,4.32,10145.0,1.85,14.0,Discount,P/E is below 70% of the sector median
LT,LT,Larsen & Toubro Ltd,Industrials,2024,1124597.5,30.8,18.77,47.16,3.0,2.48,9.07,7.45,16.63,10.51,22.36,-25.64,Normal,1.26,20445.0,1.82,16.0,Discount,P/E is below 70% of the sector median
INFY,INFY,Infosys Ltd,Information Technology,2024,1112279.92,35.99,35.99,63.63,1.0,8.97,9.93,6.08,36.7,31.67,29.94,22.58,Above Sector,4.1,20117.0,1.81,17.0,Discount,P/E is below 70% of the sector median
NTPC,NTPC,NTPC Ltd,Energy,2024,907823.11,30.8,54.44,44.92,6.0,5.24,7.06,6.0,37.12,18.09,24.86,49.32,Above Sector,0.06,8644.0,0.95,24.0,Discount,P/E is below 70% of the sector median
INDIGO,INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,2024,1040632.92,76.23,51.42,38.01,14.0,7.87,10.87,8.06,24.64,28.15,26.46,-6.86,Normal,4.27,9424.0,0.91,27.0,Caution,P/E is more than 1.5x the sector median
