company_id,year,free_cash_flow,cfo_quality,cfo_quality_label,capex_intensity,capex_label,fcf_conversion,cfo_sign,cfi_sign,cff_sign,pattern_label
ABB,TTM,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
ABB,Dec 2012,42.0,0.696551724137931,Moderate,58.415841584158414,High,41.584158415841586,+,-,-,Shareholder Returns
ABB,Mar 2014,0.0,0.0,Weak,,Unknown,,0,0,0,Mixed
ABB,Mar 2015,-1899.0,-0.15283842794759825,Weak,5325.714285714286,High,5425.714285714286,-,-,+,Distress Signal
ABB,Mar 2016,728.0,6.0549019607843135,Strong,52.84974093264248,High,47.15025906735752,+,-,-,Shareholder Returns
ABB,Mar 2017,459.0,7.902527075812275,Strong,79.03152124257652,High,20.96847875742348,+,-,-,Shareholder Returns
ABB,Mar 2018,-994.0,5.4812967581047385,Strong,145.22292993630572,High,-45.22292993630573,+,-,+,Growth Funded by Debt
ABB,Mar 2019,-459.0,5.757777777777778,Strong,117.715167888846,High,-17.715167888846008,+,-,+,Growth Funded by Debt
ABB,Mar 2020,-206.0,9.168634064080944,Strong,103.78885414750782,High,-3.788854147507817,+,-,+,Growth Funded by Debt
ABB,Mar 2021,-225.0,5.476121562952243,Strong,105.946088794926,High,-5.946088794926005,+,-,-,Reinvestor
ABB,Mar 2022,161.0,5.127659574468085,Strong,96.07029533805223,High,3.9297046619477665,+,-,-,Shareholder Returns
ABB,Mar 2023,-922.0,3.9799789251844047,Strong,124.41090812814404,High,-24.41090812814403,+,-,+,Growth Funded by Debt
ABB,Mar 2024,1095.0,5.027477102414655,Strong,81.86485591255382,High,18.135144087446175,+,-,-,Shareholder Returns
ADANIENSOL,TTM,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
ADANIENSOL,Mar 2014,0.0,,Unknown,,Unknown,,0,0,0,Mixed
ADANIENSOL,Mar 2015,-1899.0,-5.0,Weak,5325.714285714286,High,5425.714285714286,-,-,+,Distress Signal
ADANIENSOL,Mar 2016,728.0,4.195652173913044,Strong,52.84974093264248,High,47.15025906735752,+,-,-,Shareholder Returns
ADANIENSOL,Mar 2017,459.0,5.262019230769231,Strong,79.03152124257652,High,20.96847875742348,+,-,-,Shareholder Returns
ADANIENSOL,Mar 2018,-994.0,1.9230096237970253,Strong,145.22292993630572,High,-45.22292993630573,+,-,+,Growth Funded by Debt
ADANIENSOL,Mar 2019,-459.0,4.635062611806798,Strong,117.715167888846,High,-17.715167888846008,+,-,+,Growth Funded by Debt
ADANIENSOL,Mar 2020,-206.0,7.701133144475921,Strong,103.78885414750782,High,-3.788854147507817,+,-,+,Growth Funded by Debt
ADANIENSOL,Mar 2021,-225.0,2.933333333333333,Strong,105.946088794926,High,-5.946088794926005,+,-,-,Reinvestor
ADANIENSOL,Mar 2022,161.0,3.3147249190938513,Strong,96.07029533805223,High,3.9297046619477665,+,-,-,Shareholder Returns
ADANIENSOL,Mar 2023,-922.0,2.9484777517564402,Strong,124.41090812814404,High,-24.41090812814403,+,-,+,Growth Funded by Debt
ADANIENSOL,Mar 2024,1095.0,5.048494983277592,Strong,81.86485591255382,High,18.135144087446175,+,-,-,Shareholder Returns
ADANIENT,TTM,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
ADANIENT,Mar 2013,-7124.0,6.293924466338259,Strong,192.92981998434647,High,-92.92981998434647,+,-,+,Growth Funded by Debt
ADANIENT,Mar 2014,221.0,3.109599395313681,Strong,97.31404958677686,High,2.6859504132231407,+,-,-,Shareholder Returns
ADANIENT,Mar 2015,-2933.0,3.7127937336814623,Strong,134.3764650726676,High,-34.37646507266761,+,-,+,Growth Funded by Debt
ADANIENT,Mar 2016,3287.0,5.112,Strong,35.700312989045386,Moderate,64.29968701095461,+,-,-,Shareholder Returns
ADANIENT,Mar 2017,-686.0,0.8367567567567568,Moderate,188.63049095607235,High,-88.63049095607235,+,-,+,Growth Funded by Debt
ADANIENT,Mar 2018,-4707.0,4.952861952861953,Strong,259.993201903467,High,-159.99320190346702,+,-,+,Growth Funded by Debt
ADANIENT,Mar 2019,5723.0,6.395256916996048,Strong,76.85414091470952,High,176.85414091470952,+,+,-,Liquidating Assets
ADANIENT,Mar 2020,1372.0,2.3596153846153847,Strong,44.09127954360228,Moderate,55.90872045639772,+,-,-,Shareholder Returns
ADANIENT,Mar 2021,-4568.0,3.8652007648183555,Strong,212.9854068760821,High,-112.98540687608212,+,-,+,Growth Funded by Debt
ADANIENT,Mar 2022,-15656.0,1.7576142131979695,Strong,1230.3971119133575,High,-1130.3971119133575,+,-,+,Growth Funded by Debt
ADANIENT,Mar 2023,2167.0,7.277456647398844,Strong,87.70566209009418,High,12.29433790990582,+,-,-,Shareholder Returns
ADANIENT,Mar 2024,-8455.0,3.0920539730134933,Strong,181.99185415050428,High,-81.99185415050427,+,-,+,Growth Funded by Debt
ADANIGREEN,TTM,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
ADANIGREEN,Mar 2017,-1483.0,0.5957446808510638,Moderate,5396.428571428572,High,-5296.428571428572,+,-,+,Growth Funded by Debt
ADANIGREEN,Mar 2018,-3779.0,4.702898550724638,Strong,682.2804314329738,High,-582.2804314329738,+,-,+,Growth Funded by Debt
ADANIGREEN,Mar 2019,-1041.0,3.4210526315789473,Strong,164.06153846153845,High,-64.06153846153846,+,-,+,Growth Funded by Debt
ADANIGREEN,Mar 2020,-1778.0,28.897058823529413,Strong,190.48346055979644,High,-90.48346055979644,+,-,+,Growth Funded by Debt
ADANIGREEN,Mar 2021,-7536.0,8.796703296703297,Strong,570.7058088694566,High,-470.70580886945663,+,-,+,Growth Funded by Debt
ADANIGREEN,Mar 2022,-15603.0,6.394683026584867,Strong,598.9766549408379,High,-498.9766549408379,+,-,+,Growth Funded by Debt
ADANIGREEN,Mar 2023,3408.0,7.466598150051388,Strong,53.090158293186505,High,46.90984170681349,+,-,-,Shareholder Returns
ADANIGREEN,Mar 2024,-13347.0,6.121428571428571,Strong,273.04550758459743,High,-173.04550758459743,+,-,+,Growth Funded by Debt
ADANIPORTS,TTM,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,Mixed
ADANIPORTS,Mar 2013,-3757.0,0.8413666870042709,Moderate,372.4437998549674,High,-272.4437998549674,+,-,+,Growth Funded by Debt
ADANIPORTS,Mar 2014,-1378.0,0.6502010338885698,Moderate,221.7314487632509,High,-121.73144876325088,+,-,+,Growth Funded by Debt
ADANIPORTS,Mar 2015,572.0,1.3154044750430292,Strong,81.28884527314361,High,18.711154726856392,+,-,-,Shareholder Returns
ADANIPORTS,Mar 2016,-1772.0,0.8336834733893558,Moderate,174.422511549769,High,-74.422511549769,+,-,+,Growth Funded by Debt
ADANIPORTS,Mar 2017,1434.0,1.0412608918503332,Strong,64.70588235294117,High,35.294117647058826,+,-,-,Shareholder Returns
ADANIPORTS,Mar 2018,1762.0,1.5197831978319782,Strong,68.58059914407988,High,31.419400855920117,+,-,-,Shareholder Returns
ADANIPORTS,Mar 2019,1661.0,1.4904820766378244,Strong,72.4498258417648,High,27.550174158235198,+,-,+,Growth Funded by Debt
ADANIPORTS,Mar 2020,6653.0,1.9556142668428005,Strong,10.11888678735477,Low,89.88111321264523,+,-,-,Shareholder Returns
